title,description,category,experienceLevel,type,applicationEmail,applicationUrl,companyName,companyImage,city,stateAbbreviation,locationRequirement,wage,createdAt,companyLogoS3
Recrutement EM ÉNERGIE,"<p>EM ÉNERGIE, entreprise spécialisée dans le secteur de l'énergie, recrute plusieurs profils techniques et de management de projet pour rejoindre nos équipes dynamiques. Nos postes sont basés à Casablanca, Kénitra, Tanger, Safi, Youssoufia et Bouskoura.</p> <p>Nous recherchons des candidats motivés et passionnés pour assurer la gestion et la mise en œuvre de projets d'envergure.</p> <ul> <li><strong>Postes disponibles :</strong> Ingénieurs, chefs de projet, techniciens spécialisés.</li> <li><strong>Qualifications requises :</strong> Diplôme en ingénierie ou domaine similaire, expérience en gestion de projet.</li> <li><strong>Compétences recherchées :</strong> Capacité d'adaptation, excellent sens de la communication, esprit d'équipe.</li> </ul> <p>Rejoindre EM ÉNERGIE, c'est participer à des projets innovants et contribuer à un avenir énergétique durable.</p>",Tech,mid_level,full_time,recrutement@em-energie.ma,,EM ÉNERGIE,https://www.dreamjob.ma/wp-content/uploads/2024/12/EM-Energie.png,Casablanca,CAS,hybrid,3621,2025-11-08T17:52:39.125978+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/em-énergie.png
Concepteur Mécanique,"<p>SEGULA Technologies Maroc, acteur majeur de l'ingénierie et du conseil en innovation, recrute des Concepteurs Mécaniques pour rejoindre son équipe dynamique à Casablanca.</p> <p>En tant que Concepteur Mécanique, vous serez en charge de développer des solutions innovantes et adaptées aux besoins de nos clients. Vos missions incluront :</p> <ul> <li>Analyser les spécifications techniques et les exigences des projets</li> <li>Concevoir et modéliser des pièces mécaniques à l'aide de logiciels CAO</li> <li>Collaborer avec les équipes de projet pour garantir la faisabilité des conceptions</li> <li>Réaliser des tests et validations sur prototypes</li> <li>Participer à la rédaction de la documentation technique</li> </ul> <p>Nous recherchons des candidats passionnés, ayant une solide formation en conception mécanique et une expérience pertinente dans le domaine.</p> <p>Rejoignez-nous pour participer à des projets innovants et contribuez à notre croissance à Casablanca!</p>",Other,junior,full_time,contact@segula.com,,SEGULA Technologies,https://www.dreamjob.ma/wp-content/uploads/2024/02/SEGULA-Technologies-Emploi-Recrutement.png,Casablanca,CAS,in_office,3536,2025-11-08T17:53:25.733190+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/segula-technologies.png
Conseiller Banque Privée,"<p>La BMCI recherche des Conseillers Banque Privée pour renforcer ses équipes à Casablanca, Fès et Tanger. En tant que Conseiller Banque Privée, vous serez responsable de la gestion d'un portefeuille clients haut de gamme et de la proposition de solutions financières sur mesure.</p> <p>Vos principales missions incluront :</p> <ul> <li>Analyser les besoins financiers des clients et proposer des stratégies adaptées.</li> <li>Développer et fidéliser le portefeuille clients.</li> <li>Assurer un suivi personnalisé et régulier de chaque client.</li> <li>Collaborer avec les experts de la banque pour offrir des services variés tels que l'investissement, la gestion de patrimoine et la planification successorale.</li> </ul> <p>Nous recherchons des candidats ayant une formation en finance ou en gestion, avec une expérience significative dans le domaine bancaire. Une excellente capacité relationnelle et un sens aigu du service client sont des atouts essentiels pour réussir dans ce poste.</p>",Finance,junior,full_time,recrutement@bmci.ma,,BMCI,https://www.dreamjob.ma/wp-content/uploads/2021/02/BMCI-Emploi-Recrutement-1-750x393.png,Casablanca,CAS,hybrid,6910,2025-11-08T17:54:11.633864+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/bmci.png
Agents Maintenance et Logistique,"<p>CAPEP recrute deux nouveaux talents pour renforcer ses équipes techniques dans le secteur du bâtiment et des travaux publics (BTP) et des services techniques. Dans le cadre de son développement et de la diversification de ses activités, CAPEP recherche des <strong>agents de maintenance</strong> et de <strong>logistique</strong>.</p> <p>Les missions principales des agents seront :</p> <ul> <li>Assurer la maintenance préventive et corrective des équipements et infrastructures.</li> <li>Gérer les stocks de matériaux et outils nécessaires aux interventions.</li> <li>Coordonner les livraisons et la distribution des équipements sur les chantiers.</li> <li>Participer à l'élaboration des plannings d'intervention.</li> </ul> <p>Nous recherchons des personnes dynamiques, autonomes et rigoureuses, prêtes à relever des défis au sein d'une entreprise en pleine croissance. Si vous êtes passionné par le secteur du BTP et souhaitez faire partie d'une équipe engagée, n'hésitez pas à postuler.</p>",Construction,junior,full_time,contact@capep.com,,CAPEP,https://www.dreamjob.ma/wp-content/uploads/2024/09/Capep.png,Casablanca,CAS,in_office,5760,2025-11-08T17:54:53.864849+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/capep.png
Consultant en stratégie,"<p>ÆDGE Partners recherche un <strong>consultant en stratégie</strong> pour renforcer notre équipe et accompagner nos clients dans le développement de projets immobiliers innovants et durables.</p> <p>En tant que consultant en stratégie, vous aurez pour missions principales :</p> <ul> <li>Analyser le marché immobilier et identifier les opportunités de développement.</li> <li>Collaborer avec les équipes internes et les parties prenantes pour définir des stratégies adaptées.</li> <li>Élaborer des propositions de projets et des business plans.</li> <li>Réaliser des études de faisabilité et des analyses financières.</li> <li>Présenter vos recommandations aux clients et suivre la mise en œuvre des projets.</li> </ul> <p>Idéalement, vous avez une formation en économie, en gestion ou en urbanisme et une expérience dans le secteur immobilier.</p> <p>Rejoignez ÆDGE Partners et participez à la création de projets qui transforment les espaces de vie !</p>",Construction,senior,full_time,contact@aedge.ma,,ÆDGE Partners,https://www.dreamjob.ma/wp-content/uploads/2025/11/AEDGE-Partners.jpg,Casablanca,CAS,in_office,5217,2025-11-08T17:55:37.482763+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/ædge-partners.png
Stagiaire en marketing,"<p>Nous sommes à la recherche d'un <strong>stagiaire en marketing</strong> dynamique et motivé pour rejoindre notre équipe. Au sein de notre entreprise, vous aurez l'opportunité de travailler sur divers projets et de contribuer activement à nos stratégies de communication et de marketing.</p><p>Vos missions incluront :</p><ul><li>Création de contenu pour nos réseaux sociaux et notre site web.</li><li>Assistance à la rédaction de newsletters et de ressources marketing.</li><li>Analyse des performances des campagnes et suivi des indicateurs clés.</li><li>Collaboration avec les équipes de vente et de produit pour élaborer des stratégies alignées.</li><li>Participation à des brainstorming pour développer de nouvelles idées de contenu et de campagne.</li></ul><p>Ce stage est une excellente opportunité pour acquérir une expérience pratique dans le domaine du marketing et pour développer vos compétences. Si vous êtes passionné par le marketing et que vous souhaitez évoluer dans un environnement stimulant, n'hésitez pas à postuler !</p>",Other,junior,internship,intern@aedge.ma,,ÆDGE Partners,https://www.dreamjob.ma/wp-content/uploads/2025/11/AEDGE-Partners.jpg,Casablanca,CAS,in_office,6524,2025-11-08T17:55:37.482777+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/ædge-partners.png
Infirmier,"<p>Akdital, un leader dans le secteur de la santé, recrute des infirmiers pour plusieurs de ses établissements à travers le pays. Nous recherchons des professionnels passionnés par le soin et le bien-être des patients, dotés d'un excellent sens de la communication et d'une capacité à travailler en équipe.</p> <p>Les candidats retenus auront pour missions :</p> <ul> <li>Assurer la prise en charge des patients avec professionnalisme et bienveillance.</li> <li>Administrer les traitements prescrits et surveiller l'état de santé des patients.</li> <li>Collaborer avec l'équipe médicale pour garantir des soins de qualité.</li> <li>Participer à l'éducation et à la sensibilisation des patients et de leurs familles.</li> </ul> <p>Nous offrons un environnement de travail stimulant, des formations continues et des opportunités de développement de carrière. Rejoignez une équipe dynamique et contribuez à améliorer la vie de nos patients.</p>",Health,junior,full_time,recrutement@akdital.com,,Akdital,https://www.dreamjob.ma/wp-content/uploads/2024/03/Akdital-Emploi-Recrutement-750x393.png,Casablanca,CAS,in_office,5820,2025-11-08T17:56:24.611259+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/akdital.png
Aide Opératoire,"<p>Akdital, leader dans le secteur de la santé, recherche des <strong>aides opératoires</strong> pour rejoindre ses différents établissements. Vous serez un membre clé de l'équipe médicale, travaillant en étroite collaboration avec les chirurgiens et le personnel médical.</p> <p><strong>Responsabilités :</strong></p> <ul> <li>Assister les chirurgiens lors des interventions chirurgicales.</li> <li>Préparer et stériliser le matériel et les instruments nécessaires à l'opération.</li> <li>Effectuer des tâches de soutien avant, pendant et après les procédures chirurgicales.</li> <li>Veiller à la conformité des normes d'hygiène et de sécurité dans le bloc opératoire.</li> </ul> <p><strong>Qualifications requises :</strong></p> <ul> <li>Diplôme en aide opératoire ou en soins infirmiers avec formation en bloc opératoire.</li> <li>Bonne capacité à travailler en équipe et sous pression.</li> <li>Excellente communication et rigueur professionnelle.</li> </ul> <p>Rejoignez-nous pour contribuer à des soins de qualité et faire la différence dans la vie des patients.</p>",Health,junior,full_time,recrutement@akdital.com,,Akdital,https://www.dreamjob.ma/wp-content/uploads/2024/03/Akdital-Emploi-Recrutement-750x393.png,Fez,FES,in_office,3991,2025-11-08T17:56:24.611272+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/akdital.png
Infirmier,"<p>Nous sommes à la recherche d'infirmiers qualifiés pour rejoindre notre équipe dynamique à Marrakech. En tant qu'infirmier, vous serez responsable des soins aux patients, de l'administration des médicaments et du soutien aux médecins dans un environnement médical stimulant.</p><ul><li>Assurer des soins de qualité aux patients dans différents services</li><li>Travailler en collaboration avec les médecins et autres professionnels de la santé</li><li>Administrer des traitements conformément aux prescriptions médicales</li><li>Participer à l'éducation des patients et de leurs familles sur les soins de santé</li></ul><p>Si vous êtes passionné par les soins aux patients et souhaitez faire partie d'une équipe dédiée, veuillez soumettre votre candidature dès aujourd'hui.</p>",Health,mid_level,full_time,recrutement@akdital.com,,Akdital,https://www.dreamjob.ma/wp-content/uploads/2024/03/Akdital-Emploi-Recrutement-750x393.png,Marrakech,MAR,in_office,6229,2025-11-08T17:56:24.611276+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/akdital.png
Conseillers de Vente,"<p>Mievic recrute des Conseiller(e)s de Vente à Casablanca – Almaz. Marque internationale de retail présente dans plus de 20 pays et comptant plus de 1 000 magasins franchisés à travers l’Asie, l’Afrique, le Moyen-Orient et les Amériques, Mievic s’impose comme une enseigne moderne et dynamique offrant une expérience shopping unique.</p><p>Nous recherchons des conseillers de vente passionnés par le service client et capables de travailler dans un environnement dynamique. Vous serez responsable de :</p><ul><li>Accueillir et conseiller les clients sur nos produits</li><li>Assurer une présentation optimale des espaces de vente</li><li>Gérer les transactions et la caisse avec précision</li><li>Participer aux opérations de réassort et à la gestion des stocks</li></ul><p>Nous offrons un salaire attractif et des possibilités d’évolution au sein de notre enseigne. Rejoignez une équipe enthousiaste et dynamique !</p>",Other,junior,full_time,contact@mievic.com,,Mievic,https://www.dreamjob.ma/wp-content/uploads/2021/10/Mievic-Emploi-Recrutement-1.png,Casablanca,CAS,in_office,5341,2025-11-08T17:57:04.519084+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/mievic.png
