title,images,serviceCategory,type,description,price,stateAbbreviation,city,phoneNumber,averageRating,numberOfReviews
L'atelier de coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/l_atelier_de_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/l_atelier_de_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/l_atelier_de_coiffure/image_3.jpg']",Esthetician,Hair Salon,Discover expert hair styling and personalized services at L'atelier de coiffure.,200,CAS,Casablanca,· +212 5229-41741,3.3,121
Marroccia beauty salon,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/marroccia_beauty_salon/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/marroccia_beauty_salon/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/marroccia_beauty_salon/image_3.jpg']",Esthetician,Esthetician,Experience rejuvenating skincare and makeup services at Marroccia Beauty Salon for a radiant you.,200,,,· +212 669-733736,4.4,45
The Premium Barbershop - Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_premium_barbershop_-_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_premium_barbershop_-_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_premium_barbershop_-_casablanca/image_3.jpg']",Esthetician,Barbershop,Experience luxury grooming and personalized haircuts in a stylish atmosphere.,200,CAS,Casablanca,· +212 661-625110,4.4,83
"INSIDE BEAUTY salon de Coiffure, institut de beauté pour femmes, Soin visage, épilation, manucure, pédicure, maquillage, gel","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/inside_beauty_salon_de_coiffure__institut_de_beaut__pour_femmes__soin_visage___pilation__manucure__p_dicure__maquillage__gel/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/inside_beauty_salon_de_coiffure__institut_de_beaut__pour_femmes__soin_visage___pilation__manucure__p_dicure__maquillage__gel/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/inside_beauty_salon_de_coiffure__institut_de_beaut__pour_femmes__soin_visage___pilation__manucure__p_dicure__maquillage__gel/image_3.jpg']",Esthetician,Beauty Salon,"Comprehensive beauty services for women, including hair, skincare, and nail treatments.",200,,,· +212 662-628735,3.3,74
Metamorfose Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/metamorfose_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/metamorfose_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/metamorfose_marrakech/image_3.jpg']",Esthetician,Esthetician Services,Transformative esthetician services offering rejuvenating facials and beauty treatments in Marrakech.,200,,,· +212 610-921754,3.1,16
"OZAR (Lawest) - Salon de coiffure, barber dégradé à l'américaine, taper & coupe Afro | Coiffeur Brushing Femme & Nails",['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/defaults/esthetician_default.jpg'],Esthetician,Hair Salon,Expert haircuts and styling services specializing in American fade and Afro hair.,200,,,· +212 660-284345,4.2,71
"Salon Zen Mahaj - Salon de Coiffure , Beauté et Esthétique à Hay Riad Rabat","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_zen_mahaj_-_salon_de_coiffure___beaut__et_esth_tique___hay_riad_rabat/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_zen_mahaj_-_salon_de_coiffure___beaut__et_esth_tique___hay_riad_rabat/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_zen_mahaj_-_salon_de_coiffure___beaut__et_esth_tique___hay_riad_rabat/image_3.jpg']",Esthetician,Beauty Salon,Relax and rejuvenate with expert beauty treatments at Salon Zen Mahaj.,200,RAB,Rabat,· +212 5375-75602,3.5,70
Salon Mouna Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mouna_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mouna_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mouna_marrakech/image_3.jpg']",Esthetician,Esthetician Services,"Expert esthetic services offering grooming, skincare, and relaxation treatments in a tranquil atmosphere.",200,,,· +212 661-301966,3.5,15
Salon Ibrahimi,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ibrahimi/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ibrahimi/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ibrahimi/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services offering skincare treatments and beauty enhancement.,200,RAB,Rabat,· +212 666-690668,4.2,86
Concept Coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/concept_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/concept_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/concept_coiffure/image_3.jpg']",Esthetician,Beauty Spa,"Expert esthetician services for skincare, makeup, and beauty treatments.",200,CAS,Casablanca,· +212 5222-34376,4.7,48
